"Id","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","_stFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_sf","haspool","hasgarage","hasbsmt","hasfireplace"
1,60,"0",8450,"0",,"0","0","0","0","0","1","0","0","0","1",7,5,2003,2003,"0","0","0","0","1","1","0","0","1","0","0","1","0",856,"0","0","0","0",856,1710,1,2,1,3,"1",8,"0",0,,"0","1",2,548,"0","0","0",,,,2,2008,"0","0",208500,2566,4,61,0,1,1,0
2,20,"0",9600,"0",,"0","0","0","3","0","22","1","0","0","0",6,8,1976,1976,"0","0","2","1","0","0","0","1","1","0","2","2","0",1262,"0","0","0","0",1262,1262,0,2,0,3,"0",6,"0",1,"1","0","1",2,460,"0","0","0",,,,5,2007,"0","0",181500,2524,3,298,0,1,1,1
3,60,"0",11250,"0",,"1","0","0","0","0","1","0","0","0","1",7,5,2001,2002,"0","0","0","0","1","1","0","0","1","0","3","1","0",920,"0","0","0","0",920,1786,1,2,1,3,"1",6,"0",1,"1","0","1",2,608,"0","0","0",,,,9,2008,"0","0",223500,2706,4,42,0,1,1,1
4,70,"0",9550,"0",,"1","0","0","1","0","11","0","0","0","1",7,5,1915,1970,"0","0","3","6","0","0","0","2","0","1","0","2","0",756,"0","2","0","0",961,1717,1,1,0,3,"1",7,"0",1,"0","1","0",3,642,"0","0","0",,,,2,2006,"0","2",140000,2473,2,307,0,1,1,1
5,60,"0",14260,"0",,"1","0","0","3","0","13","0","0","0","1",8,5,2000,2000,"0","0","0","0","1","1","0","0","1","0","1","1","0",1145,"0","0","0","0",1145,2198,1,2,1,4,"1",9,"0",1,"1","0","1",3,836,"0","0","0",,,,12,2008,"0","0",250000,3343,4,276,0,1,1,1
6,50,"0",14115,"0",,"1","0","0","0","0","12","0","0","0","2",5,5,1993,1995,"0","0","0","0","0","0","0","5","1","0","0","1","0",796,"0","0","0","0",796,1362,1,1,1,1,"0",5,"0",0,,"0","0",2,480,"0","0","0",,"0","0",10,2009,"0","0",143000,2158,3,390,0,1,1,0
7,20,"0",10084,"0",,"0","0","0","0","0","4","0","0","0","0",8,5,2004,2005,"0","0","0","0","2","1","0","0","2","0","1","1","0",1686,"0","0","0","0",1694,1694,1,2,0,3,"1",7,"0",1,"0","0","1",2,636,"0","0","0",,,,8,2007,"0","0",307000,3380,3,312,0,1,1,1
8,60,"0",10382,"0",,"1","0","0","1","0","8","4","0","0","1",7,6,1973,1973,"0","0","1","2","2","0","0","1","1","0","3","2","3",1107,"0","0","0","0",1107,2090,1,2,1,3,"0",7,"0",2,"1","0","1",2,484,"0","0","0",,,"0",11,2009,"0","0",200000,3197,4,667,0,1,1,1
9,50,"1",6120,"0",,"0","0","0","0","0","2","2","0","0","2",7,5,1931,1950,"0","0","6","6","0","0","0","2","0","0","0","0","0",952,"0","2","0","2",1022,1774,0,2,0,2,"0",8,"2",2,"1","1","0",2,468,"1","0","0",,,,4,2008,"0","2",129900,2726,2,295,0,1,1,1
10,190,"0",7420,"0",,"0","0","0","1","0","10","2","3","4","5",5,6,1939,1950,"0","0","2","1","0","0","0","2","0","0","0","1","0",991,"0","0","0","0",1077,1077,1,1,0,2,"0",5,"0",2,"1","0","1",1,205,"2","0","0",,,,1,2008,"0","0",118000,2068,2,4,0,1,1,1
11,20,"0",11200,"0",,"0","0","0","0","0","7","0","0","0","0",5,5,1965,1965,"1","0","1","2","0","0","0","1","0","0","0","4","0",1040,"0","0","0","0",1040,1040,1,1,0,3,"0",5,"0",0,,"1","0",1,384,"0","0","0",,,,2,2008,"0","0",129500,2080,2,0,0,1,1,0
12,60,"0",11924,"0",,"1","0","0","0","0","6","0","0","0","1",9,5,2005,2006,"1","0","7","6","2","2","0","0","2","0","0","1","0",1175,"0","0","0","0",1182,2324,1,3,0,4,"2",11,"0",2,"0","2","2",3,736,"0","0","0",,,,7,2006,"1","1",345000,3499,4,168,0,1,1,1
13,20,"0",12968,"0",,"2","0","0","0","0","7","0","0","0","0",5,6,1962,1962,"1","0","1","4","0","0","0","1","0","0","0","2","0",912,"0","1","0","0",912,912,1,1,0,2,"0",4,"0",0,,"1","0",1,352,"0","0","0",,,,9,2008,"0","0",144000,1824,2,316,0,1,1,0
14,20,"0",10652,"0",,"1","0","0","0","0","1","0","0","0","0",7,5,2006,2007,"0","0","0","0","2","1","0","0","1","0","1","0","0",1494,"0","0","0","0",1494,1494,0,2,0,3,"1",7,"0",1,"0","0","1",3,840,"0","0","0",,,,8,2007,"1","1",279500,2988,2,193,0,1,1,1
15,20,"0",10920,"0",,"1","0","0","1","0","0","0","0","0","0",6,5,1960,1960,"1","0","2","1","1","0","0","1","0","0","0","3","0",1253,"0","1","0","0",1253,1253,1,1,1,2,"0",5,"0",1,"2","0","1",1,352,"0","0","0",,"2",,5,2008,"0","0",157000,2506,3,389,0,1,1,1
16,45,"1",6120,"0",,"0","0","0","1","0","10","0","0","0","5",7,8,1929,2001,"0","0","3","3","0","0","0","2","0","0","0","0","0",832,"0","0","0","1",854,854,0,1,0,2,"0",5,"0",0,,"1","0",2,576,"0","0","0",,"1",,7,2007,"0","0",132000,1686,1,160,0,1,1,0
17,20,"0",11241,"0",,"1","0","0","2","0","0","0","0","0","0",6,7,1970,1970,"0","0","3","3","1","0","0","1","0","0","0","2","0",1004,"0","0","0","0",1004,1004,1,1,0,2,"0",5,"0",1,"1","0","2",2,480,"0","0","0",,,"0",3,2010,"0","0",149000,2008,2,0,0,1,1,1
