"MSSubClass","MSZoning","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","_stFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_sf","haspool","hasgarage","hasbsmt","hasfireplace"
60,0,8450,0,0,0,0,0,0,1,0,0,0,1,7,5,2003,2003,0,0,0,0,1.00,1,0,0,1.00,0.00,0.00,1.00,0.00,856,0,0,0,0.00,856,1710,1,2,1,3,1,8,0,0,0.00,1.00,2,548,0.00,0.00,0,2,2008,0,0,208500,2566,4,61,0,1,1,0
20,0,9600,0,0,0,0,3,0,22,1,0,0,0,6,8,1976,1976,0,0,2,1,0.00,0,0,1,1.00,0.00,2.00,2.00,0.00,1262,0,0,0,0.00,1262,1262,0,2,0,3,0,6,0,1,0.00,1.00,2,460,0.00,0.00,0,5,2007,0,0,181500,2524,3,298,0,1,1,1
60,0,11250,0,1,0,0,0,0,1,0,0,0,1,7,5,2001,2002,0,0,0,0,1.00,1,0,0,1.00,0.00,3.00,1.00,0.00,920,0,0,0,0.00,920,1786,1,2,1,3,1,6,0,1,0.00,1.00,2,608,0.00,0.00,0,9,2008,0,0,223500,2706,4,42,0,1,1,1
70,0,9550,0,1,0,0,1,0,11,0,0,0,1,7,5,1915,1970,0,0,3,6,0.00,0,0,2,0.00,1.00,0.00,2.00,0.00,756,0,2,0,0.00,961,1717,1,1,0,3,1,7,0,1,1.00,0.00,3,642,0.00,0.00,0,2,2006,0,2,140000,2473,2,307,0,1,1,1
60,0,14260,0,1,0,0,3,0,13,0,0,0,1,8,5,2000,2000,0,0,0,0,1.00,1,0,0,1.00,0.00,1.00,1.00,0.00,1145,0,0,0,0.00,1145,2198,1,2,1,4,1,9,0,1,0.00,1.00,3,836,0.00,0.00,0,12,2008,0,0,250000,3343,4,276,0,1,1,1
50,0,14115,0,1,0,0,0,0,12,0,0,0,2,5,5,1993,1995,0,0,0,0,0.00,0,0,5,1.00,0.00,0.00,1.00,0.00,796,0,0,0,0.00,796,1362,1,1,1,1,0,5,0,0,0.00,0.00,2,480,0.00,0.00,0,10,2009,0,0,143000,2158,3,390,0,1,1,0
20,0,10084,0,0,0,0,0,0,4,0,0,0,0,8,5,2004,2005,0,0,0,0,2.00,1,0,0,2.00,0.00,1.00,1.00,0.00,1686,0,0,0,0.00,1694,1694,1,2,0,3,1,7,0,1,0.00,1.00,2,636,0.00,0.00,0,8,2007,0,0,307000,3380,3,312,0,1,1,1
60,0,10382,0,1,0,0,1,0,8,4,0,0,1,7,6,1973,1973,0,0,1,2,2.00,0,0,1,1.00,0.00,3.00,2.00,3.00,1107,0,0,0,0.00,1107,2090,1,2,1,3,0,7,0,2,0.00,1.00,2,484,0.00,0.00,0,11,2009,0,0,200000,3197,4,667,0,1,1,1
50,1,6120,0,0,0,0,0,0,2,2,0,0,2,7,5,1931,1950,0,0,6,6,0.00,0,0,2,0.00,0.00,0.00,0.00,0.00,952,0,2,0,2.00,1022,1774,0,2,0,2,0,8,2,2,1.00,0.00,2,468,1.00,0.00,0,4,2008,0,2,129900,2726,2,295,0,1,1,1
190,0,7420,0,0,0,0,1,0,10,2,3,4,5,5,6,1939,1950,0,0,2,1,0.00,0,0,2,0.00,0.00,0.00,1.00,0.00,991,0,0,0,0.00,1077,1077,1,1,0,2,0,5,0,2,0.00,1.00,1,205,2.00,0.00,0,1,2008,0,0,118000,2068,2,4,0,1,1,1
20,0,11200,0,0,0,0,0,0,7,0,0,0,0,5,5,1965,1965,1,0,1,2,0.00,0,0,1,0.00,0.00,0.00,4.00,0.00,1040,0,0,0,0.00,1040,1040,1,1,0,3,0,5,0,0,1.00,0.00,1,384,0.00,0.00,0,2,2008,0,0,129500,2080,2,0,0,1,1,0
60,0,11924,0,1,0,0,0,0,6,0,0,0,1,9,5,2005,2006,1,0,7,6,2.00,2,0,0,2.00,0.00,0.00,1.00,0.00,1175,0,0,0,0.00,1182,2324,1,3,0,4,2,11,0,2,2.00,2.00,3,736,0.00,0.00,0,7,2006,1,1,345000,3499,4,168,0,1,1,1
20,0,12968,0,2,0,0,0,0,7,0,0,0,0,5,6,1962,1962,1,0,1,4,0.00,0,0,1,0.00,0.00,0.00,2.00,0.00,912,0,1,0,0.00,912,912,1,1,0,2,0,4,0,0,1.00,0.00,1,352,0.00,0.00,0,9,2008,0,0,144000,1824,2,316,0,1,1,0
20,0,10652,0,1,0,0,0,0,1,0,0,0,0,7,5,2006,2007,0,0,0,0,2.00,1,0,0,1.00,0.00,1.00,0.00,0.00,1494,0,0,0,0.00,1494,1494,0,2,0,3,1,7,0,1,0.00,1.00,3,840,0.00,0.00,0,8,2007,1,1,279500,2988,2,193,0,1,1,1
20,0,10920,0,1,0,0,1,0,0,0,0,0,0,6,5,1960,1960,1,0,2,1,1.00,0,0,1,0.00,0.00,0.00,3.00,0.00,1253,0,1,0,0.00,1253,1253,1,1,1,2,0,5,0,1,0.00,1.00,1,352,0.00,0.00,0,5,2008,0,0,157000,2506,3,389,0,1,1,1
45,1,6120,0,0,0,0,1,0,10,0,0,0,5,7,8,1929,2001,0,0,3,3,0.00,0,0,2,0.00,0.00,0.00,0.00,0.00,832,0,0,0,1.00,854,854,0,1,0,2,0,5,0,0,1.00,0.00,2,576,0.00,0.00,0,7,2007,0,0,132000,1686,1,160,0,1,1,0
20,0,11241,0,1,0,0,2,0,0,0,0,0,0,6,7,1970,1970,0,0,3,3,1.00,0,0,1,0.00,0.00,0.00,2.00,0.00,1004,0,0,0,0.00,1004,1004,1,1,0,2,0,5,0,1,0.00,2.00,2,480,0.00,0.00,0,3,2010,0,0,149000,2008,2,0,0,1,1,1
90,0,10791,0,0,0,0,0,0,7,0,0,2,0,4,5,1967,1967,0,0,2,1,0.00,0,0,3,1.00,0.00,0.00,1.00,0.00,0,0,1,0,0.00,1296,1296,0,2,0,2,0,6,0,0,4.00,0.00,2,516,0.00,0.00,0,10,2006,0,0,90000,1296,2,0,0,1,0,0
20,0,13695,0,0,0,0,0,0,9,5,0,0,0,5,5,2004,2004,0,0,0,0,0.00,0,0,0,0.00,0.00,0.00,1.00,0.00,1114,0,0,0,0.00,1114,1114,1,1,1,3,1,6,0,0,1.00,0.00,2,576,0.00,0.00,0,6,2008,0,0,159000,2228,3,102,0,1,1,0
20,0,7560,0,0,0,0,0,0,0,0,0,0,0,5,6,1958,1965,1,0,6,4,0.00,0,0,1,0.00,0.00,0.00,5.00,0.00,1029,0,1,0,0.00,1339,1339,0,1,0,3,0,6,2,0,0.00,0.00,1,294,0.00,0.00,0,5,2009,2,2,139000,2368,1,0,0,1,1,0
60,0,14215,0,1,0,0,1,0,6,0,0,0,1,8,5,2005,2006,0,0,0,0,1.00,1,0,0,2.00,0.00,1.00,0.00,0.00,1158,0,0,0,0.00,1158,2376,0,3,1,4,1,9,0,1,2.00,1.00,3,853,0.00,0.00,0,11,2006,1,1,325300,3534,4,394,0,1,1,1
45,1,7449,0,0,1,0,0,0,15,0,0,0,5,7,7,1930,1950,0,0,3,3,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,637,0,0,0,2.00,1108,1108,0,1,0,3,1,6,0,1,0.00,0.00,1,280,0.00,0.00,1,6,2007,0,0,139400,1745,1,205,0,1,1,1
20,0,9742,0,0,0,0,0,0,1,0,0,0,0,8,5,2002,2002,1,0,0,0,1.00,1,0,0,1.00,0.00,0.00,0.00,0.00,1777,0,0,0,0.00,1795,1795,0,2,0,3,1,7,0,1,0.00,1.00,2,534,0.00,0.00,0,9,2008,0,0,230000,3572,2,330,0,1,1,1
120,1,4224,0,0,0,0,0,0,19,0,0,1,0,5,7,1976,1976,0,0,5,5,0.00,0,0,0,1.00,0.00,0.00,1.00,0.00,1040,0,1,0,0.00,1060,1060,1,1,0,3,0,6,0,1,0.00,0.00,2,572,0.00,0.00,0,6,2007,0,0,129900,2100,2,210,0,1,1,1
20,0,8246,0,1,0,0,0,0,7,0,0,0,0,5,8,1968,2001,0,0,4,4,0.00,0,1,1,0.00,0.00,3.00,4.00,4.00,1060,0,0,0,0.00,1060,1060,1,1,0,3,1,6,0,1,0.00,0.00,1,270,0.00,0.00,0,5,2010,0,0,154000,2120,2,496,0,1,1,1
20,0,14230,0,0,0,0,1,0,6,0,0,0,0,8,5,2007,2007,0,0,0,0,2.00,1,0,0,1.00,0.00,0.00,0.00,0.00,1566,0,0,0,0.00,1600,1600,0,2,0,3,1,7,0,1,0.00,1.00,3,890,0.00,0.00,0,7,2009,0,0,256300,3166,2,56,0,1,1,1
20,0,7200,0,0,0,0,1,0,0,0,0,0,0,5,7,1951,2000,0,0,3,3,0.00,0,0,1,0.00,0.00,3.00,3.00,1.00,900,0,1,0,0.00,900,900,0,1,0,3,1,5,0,0,1.00,0.00,2,576,0.00,0.00,0,5,2010,0,0,134800,1800,2,254,0,1,1,0
20,0,11478,0,0,0,0,0,0,6,0,0,0,0,8,5,2007,2008,0,0,0,0,2.00,1,0,0,2.00,0.00,0.00,1.00,0.00,1704,0,0,0,0.00,1704,1704,1,2,0,3,1,7,0,1,0.00,1.00,3,772,0.00,0.00,0,5,2010,0,0,306000,3408,3,50,0,1,1,1
20,0,16321,0,1,0,0,2,0,0,0,0,0,0,5,6,1957,1997,0,0,2,1,0.00,0,0,1,0.00,0.00,2.00,3.00,0.00,1484,0,1,0,0.00,1600,1600,1,1,0,2,0,6,0,2,0.00,1.00,1,319,0.00,0.00,0,12,2006,0,0,207500,3084,2,546,0,1,1,1
30,1,6324,0,1,0,0,0,0,10,1,4,0,0,4,6,1927,1950,0,0,2,1,0.00,0,0,2,0.00,0.00,0.00,0.00,0.00,520,0,3,1,0.00,520,520,0,1,0,1,3,4,0,0,1.00,0.00,1,240,1.00,0.00,0,5,2008,0,0,68500,1040,1,136,0,1,1,0
70,4,8500,0,0,0,0,0,0,15,1,0,0,1,4,4,1920,1950,3,0,6,8,0.00,0,2,2,0.00,0.00,0.00,0.00,0.00,649,0,1,1,0.00,649,1317,0,1,0,3,0,6,0,0,1.00,0.00,1,250,0.00,1.00,1,7,2008,0,0,40000,1966,1,226,0,1,1,0
20,0,8544,0,1,0,0,2,0,7,0,0,0,0,5,6,1966,2006,0,0,1,2,0.00,0,0,1,0.00,0.00,0.00,0.00,0.00,1228,0,2,0,0.00,1228,1228,0,1,1,3,1,6,0,0,0.00,0.00,1,271,0.00,0.00,0,6,2008,0,0,149350,2456,2,65,0,1,1,0
20,0,11049,0,0,0,0,1,0,1,0,0,0,0,8,5,2007,2007,0,0,0,0,0.00,1,0,0,2.00,0.00,1.00,0.00,0.00,1234,0,0,0,0.00,1234,1234,0,2,0,3,1,7,0,0,0.00,1.00,2,484,0.00,0.00,0,1,2008,0,0,179900,2468,2,30,0,1,1,0
20,0,10552,0,1,0,0,0,0,0,0,0,0,0,5,5,1959,1959,1,0,6,8,0.00,0,0,1,0.00,0.00,0.00,4.00,0.00,1398,0,2,0,0.00,1700,1700,0,1,1,4,1,6,0,1,0.00,1.00,2,447,0.00,0.00,0,4,2010,0,0,165500,3098,2,38,0,1,1,1
120,0,7313,0,0,0,0,0,0,6,0,0,1,0,9,5,2005,2005,1,0,2,1,1.00,2,0,0,2.00,0.00,0.00,1.00,0.00,1561,0,0,0,0.00,1561,1561,1,2,0,2,2,6,0,1,0.00,2.00,2,556,0.00,0.00,0,8,2007,0,0,277500,3122,3,250,0,1,1,1
60,0,13418,0,0,0,0,0,0,6,0,0,0,1,8,5,2004,2005,0,0,0,0,2.00,1,0,0,2.00,0.00,1.00,0.00,0.00,1117,0,0,0,0.00,1132,2452,0,3,1,4,1,9,0,1,2.00,2.00,3,691,0.00,0.00,0,9,2006,0,0,309000,3569,4,145,0,1,1,1
20,0,10859,0,0,0,0,1,0,1,0,0,0,0,5,5,1994,1995,0,0,0,0,0.00,0,0,0,1.00,0.00,0.00,0.00,0.00,1097,0,0,0,0.00,1097,1097,0,1,1,3,0,6,0,0,0.00,0.00,2,672,0.00,0.00,0,6,2009,0,0,145000,2194,2,456,0,1,1,0
20,0,8532,0,0,0,0,0,0,0,0,0,0,0,5,6,1954,1990,1,0,3,3,1.00,0,0,1,0.00,0.00,0.00,4.00,0.00,1297,0,2,0,0.00,1297,1297,0,1,0,3,0,5,0,1,0.00,2.00,2,498,0.00,0.00,0,10,2009,0,0,153000,2594,2,0,0,1,1,1
20,0,7922,0,0,0,0,0,0,0,0,0,0,0,5,7,1953,2007,0,0,0,0,0.00,0,1,1,0.00,0.00,0.00,1.00,0.00,1057,0,1,0,0.00,1057,1057,1,1,0,3,1,5,0,0,1.00,0.00,1,246,0.00,0.00,0,1,2010,0,2,109000,2114,2,52,0,1,1,0
90,0,6040,0,0,0,0,0,0,3,0,0,2,0,4,5,1955,1955,0,0,9,4,0.00,0,0,0,1.00,0.00,0.00,1.00,0.00,0,0,1,1,3.00,1152,1152,0,2,0,2,3,6,0,0,0.00,1.00,0,0,0.00,0.00,1,6,2008,0,5,82000,1152,2,0,0,0,0,0
20,0,8658,0,0,0,0,0,0,0,0,0,0,0,6,5,1965,1965,0,0,3,3,1.00,0,0,1,0.00,0.00,0.00,4.00,0.00,1088,0,0,0,0.00,1324,1324,0,2,0,3,0,6,0,1,0.00,1.00,2,440,0.00,0.00,0,12,2006,0,2,160000,2412,2,138,0,1,1,1
20,0,16905,0,0,0,0,0,0,14,0,0,0,0,5,6,1959,1959,0,0,0,0,0.00,0,1,1,0.00,0.00,2.00,3.00,0.00,1350,0,2,0,0.00,1328,1328,0,1,1,2,0,5,0,2,0.00,1.00,1,308,0.00,0.00,2,7,2007,0,0,170000,2678,2,104,0,1,1,1
85,0,9180,0,1,0,0,2,0,9,0,0,0,4,5,7,1983,1983,0,0,1,2,0.00,0,0,1,1.00,0.00,1.00,2.00,2.00,840,0,2,0,0.00,884,884,1,1,0,2,1,5,0,0,0.00,1.00,2,504,0.00,2.00,0,12,2007,0,0,144000,1724,2,240,0,1,1,0
